pr_number,pr_owner,first_pr,pr_commits,pr_comments,merged,linked,sameOwner,comments,commentsB4,ownerComments,ownerCommentsB4,mergerComments,mergerCommentsB4
265,grischa,0,1,0,0,0,,,,,,,
270,nestegg,0,3,0,1,0,,,,,,,
271,nestegg,0,4,1,1,0,,,,,,,
269,bclermont,0,5,0,0,0,,,,,,,
304,andrewbunday,0,1,0,0,0,,,,,,,
307,epoelke,0,5,0,1,0,,,,,,,
306,JensRantil,0,1,0,0,0,,,,,,,
309,epoelke,0,1,0,1,0,,,,,,,
308,crazysim,0,1,0,0,0,,,,,,,
311,andihit,0,1,0,0,0,,,,,,,
310,SEJeff,0,2,0,1,0,,,,,,,
313,jesusaurus,0,1,0,0,0,,,,,,,
312,epoelke,0,2,0,1,0,,,,,,,
315,SEJeff,0,1,0,0,1,0,2,2,0,0,,
314,jesusaurus,0,1,0,0,0,,,,,,,
317,Mistobaan,0,1,0,0,0,,,,,,,
316,wags007,0,2,0,0,0,,,,,,,
319,Mistobaan,0,1,0,0,0,,,,,,,
318,jesusaurus,0,3,0,0,0,,,,,,,
288,andrewbunday,0,1,0,0,0,,,,,,,
289,whiteinge,0,2,0,1,0,,,,,,,
290,whiteinge,0,1,0,1,0,,,,,,,
291,memotype,0,1,0,0,0,,,,,,,
292,mfussenegger,0,1,0,0,0,,,,,,,
293,whiteinge,0,4,0,1,0,,,,,,,
294,torhve,0,1,0,1,0,,,,,,,
295,binarydud,0,2,0,0,0,,,,,,,
296,andihit,0,1,0,0,0,,,,,,,
297,bclermont,0,1,0,0,0,,,,,,,
298,bclermont,0,1,0,0,0,,,,,,,
299,rizumu,0,1,0,0,0,,,,,,,
300,SEJeff,0,8,0,1,0,,,,,,,
301,andihit,0,2,0,0,0,,,,,,,
302,andihit,0,1,0,0,0,,,,,,,
303,ktenney,0,3,0,1,0,,,,,,,
342,epoelke,0,2,0,1,0,,,,,,,
341,shouse-cars,0,1,0,0,0,,,,,,,
339,jesusaurus,0,1,0,0,0,,,,,,,
337,jglazner,0,1,0,1,0,,,,,,,
336,dekkers,0,1,0,0,0,,,,,,,
351,whiteinge,0,1,0,1,0,,,,,,,
17822,pcarrier,0,0,0,0,0,,,,,,,
350,carlosperello,0,7,0,0,0,,,,,,,
348,whiteinge,0,2,0,1,0,,,,,,,
